"","EIN","NAME","ICO","STREET","CITY","STATE","ZIP","GROUP","SUBSECTION","AFFILIATION","CLASSIFICATION","RULING","DEDUCTIBILITY","FOUNDATION","ACTIVITY","ORGANIZATION","STATUS","TAX_PERIOD","ASSET_CD","INCOME_CD","FILING_REQ_CD","PF_FILING_REQ_CD","ACCT_PD","ASSET_AMT","INCOME_AMT","REVENUE_AMT","NTEE_CD","totcntrbgfts","totprgmrevnue","invstmntinc","txexmptbndsproceeds","royaltsinc","netrntlinc","netgnls","netincfndrsng","netincgaming","netincsales","miscrevtot11e","totrevenue","grntstogovt","grnsttoindiv","grntstofrgngovt","benifitsmembrs","compnsatncurrofcr","compnsatnandothr","othrsalwages","pensionplancontrb","othremplyeebenef","payrolltx","feesforsrvcmgmt","legalfees","accntingfees","feesforsrvclobby","profndraising","feesforsrvcinvstmgmt","feesforsrvcothr","advrtpromo","officexpns","infotech","royaltsexpns","occupancy","travel","travelofpublicoffcl","converconventmtng","interestamt","pymtoaffiliates","deprcatndepletn","insurance","othrexpnsa","othrexpnsb","othrexpnsc","othrexpnsd","othrexpnse","totfuncexpns","totassetsend","totliabend","retainedearnend","totnetassetend","totnetliabastend"
"500",421611495,"KOCHHAR CANCER RESEARCH FOUNDATION","% RUBY KOCHHAR","1 HARBOR CT APT 12E","PORTSMOUTH","VA","23704-3829",0,3,3,1200,200409,1,15,0,1,1,202212,0,0,2,0,12,0,0,0,"H30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"501",421658941,"VIRGINIA ASSOCIATION FOR HEALTHCARE QUALITY","% KAREN WENTZEL","4200 INNSLAKE DRIVE","GLEN ALLEN","VA","23060-6772",0,3,3,2000,200511,2,16,0,5,1,202212,0,0,2,0,12,0,0,0,"E99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"502",431125141,"FAMILY OF THE AMERICAS FOUNDATION INC","","PO BOX 231118","CENTREVILLE","VA","20120-0000",0,3,3,2000,197802,1,15,564149000,1,1,202212,4,4,1,0,12,282778,109038,109038,"E44Z",10000,5000,0,0,0,0,0,0,0,0,0,15000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0
"503",431201653,"NAMI NATIONAL","","4301 WILSON BLVD STE 300","ARLINGTON","VA","22203-1867",0,3,3,1000,198007,1,15,123994000,1,1,202212,9,9,1,0,12,77926202,67550689,64607717,"F80",30900460,370214,429439,0,0,0,53919,0,0,117441,6556,31878029,1577473,27500,0,0,731478,0,8685845,263016,974883,680029,0,235674,43455,0,0,98617,3535434,0,2446980,1240443,0,942607,52725,0,26125,0,0,743922,63712,187465,114721,16053,0,0,22688157,50401603,14017467,0,36384136,50401603
"504",431276731,"AMERICAN ACADEMY OF FERTILITYCARE PROFESSIONALS","% ANGELA LINVILLE","740 LYNCH CIR","VIRGINIA BCH","VA","23455-5750",0,3,3,2000,198407,1,15,209000000,1,1,202212,4,4,1,0,12,229352,131549,131549,"E42Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"505",431977711,"AMERICAN ASSOCIATION OF PHARMACEUTICAL SCIENTISTS","% STEPHANIE DEASON","2107 WILSON BLVD STE 200","ARLINGTON","VA","22201-3096",3284,3,9,1000,199102,1,16,0,5,1,202309,0,0,2,0,9,0,0,0,"E66Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"506",431977714,"AMERICAN ASSOCIATION OF PHARMACEUTICAL SCIENTISTS","% STEPHANIE DEASON","2107 WILSON BLVD STE 200","ARLINGTON","VA","22201-3096",3284,3,9,1000,199102,1,16,0,5,1,202309,0,0,2,0,9,0,0,0,"E66Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"507",432021875,"25 40","% ALEC ZACAROLI","PO BOX 10534","BURKE","VA","22009-0534",0,3,3,1000,200311,1,15,0,1,1,202212,4,4,1,0,12,157880,122837,122834,"G81",117537,0,289,0,0,0,0,-2652,0,0,0,115174,0,0,103500,0,0,0,0,0,0,0,0,0,5819,0,0,0,1205,2800,0,0,0,0,1721,0,0,0,0,0,652,2164,1307,325,0,0,119493,171760,174,0,171586,171760
"508",432081926,"CLUSTERBUSTERS INC","% VIRGINIA PROFESSIONAL SERVICES LL","3850 GASKINS ROAD","RICHMOND","VA","23233-1447",0,3,3,1000,200807,1,15,0,1,1,202212,4,4,1,0,12,221569,284056,284056,"E05",81016,53727,0,0,0,0,0,0,0,0,0,134743,0,0,0,0,0,0,63489,0,0,9985,0,0,7330,0,0,0,0,378,1318,0,0,0,11515,0,0,0,0,0,0,12366,10796,6388,6080,0,138629,166834,0,0,166834,166834
"509",450573607,"DENTAL CLINIC OF NORTHERN SHENANDOAH VALLEY INC","% TOM GROMLING","301 NORTH CAMERON STREET","WINCHESTER","VA","22601-4899",0,3,3,1000,200804,1,15,0,1,1,202212,3,3,1,0,12,46667,57712,57712,"E30",29325,46391,19,0,0,0,0,0,0,0,0,75735,0,0,0,0,0,0,36460,0,0,2816,0,0,1395,0,0,0,0,0,0,0,0,13152,0,0,0,0,0,2111,1626,4859,1884,1545,1492,0,69860,45844,17850,0,27994,45844
"510",450598619,"AL-ANON SERVICE CENTER OF TIDEWATER INC","% RIKAKO JACOBY","4968 EUCLID RD STE A1","VIRGINIA BCH","VA","23462-5833",0,3,3,1000,201210,1,16,0,1,1,202312,0,0,2,0,12,0,0,0,"F22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"511",450948897,"JOSHUA S HOPE INC","% DOUG BAGGETT","205 MORGAN LN","SPOTSYLVANIA","VA","22551-2417",0,3,3,1000,201208,1,15,0,1,1,202212,2,2,2,0,12,19932,22330,22330,"E60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"512",451541211,"VIRGINIA LAW ENFORCEMENT ASSISTANCE PROGRAM","% ALEXANDER EVANS","3201 BROOK RD","RICHMOND","VA","23227-4803",0,3,3,1000,201107,1,15,0,1,1,202212,4,4,1,0,12,139277,323086,323086,"F60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"513",451587743,"ESTRANGED STORIES","% EILZABETH VAGNONI","9488 DICK WOODS RD","AFTON","VA","22920-1544",0,3,3,1000,201304,1,15,0,1,1,202212,2,2,2,0,12,12933,11299,11299,"F60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"514",451861754,"LAST MILE FOUDATION OF GEORGIA INCORPORATED","% DAVID T SCHWARTZ","PO BOX 1773","ASHBURN","VA","20146-1773",0,3,3,1200,202005,1,15,0,1,1,202312,0,0,2,0,12,0,0,0,"E30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"515",452247374,"REGENESIS","% GARY MCREYNOLDS","PO BOX 3718","CHESTER","VA","23831-8468",0,3,3,1700,201210,1,15,0,1,1,202212,5,6,1,0,12,844996,1162639,1162639,"F22",36851,883255,0,0,0,0,0,0,0,0,245014,1165120,0,0,0,0,58167,0,330043,0,0,23894,0,0,7210,0,0,0,0,349,492,18641,0,323029,650,0,0,877,0,730,19834,79720,68942,60487,0,0,993065,778450,695407,0,83043,778450
"516",452498549,"CINDYS LEGACY","% STACY BROOKS","11654 PLAZA AMERICA DRIVE 354","RESTON","VA","20190-4700",0,3,3,1000,201110,1,15,0,1,1,202212,0,0,2,0,12,0,0,0,"E86",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"517",452544016,"HEART OF GOLD FOUNDATION INC","% MELANIE HURLEY","PO BOX 23681","ALEXANDRIA","VA","22304-9368",0,3,3,1000,201208,1,15,0,1,1,202212,0,0,2,0,12,0,0,0,"G80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"518",452670424,"CR GROUP INC","% MELVIN PRIDE","209 PARK SHORES CIRCLE","MONETA","VA","24121-0000",0,3,3,1000,201111,1,15,0,1,1,202212,0,0,2,0,12,0,0,0,"F60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"519",452679015,"BOO RADLEY FOUNDATION","% KEN JOHNSON","2701 PROSPERITY AVENUE","FAIRFAX","VA","22031-4313",0,3,3,1000,201201,1,15,0,1,1,202212,0,0,2,0,12,0,0,0,"G12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"520",452714145,"GRUNDY AUTISM SUPPORT GROUP INC","% DAVID COMPTON","PO BOX 1571","GRUNDY","VA","24614-1571",0,3,3,1000,201208,1,15,0,1,1,202112,0,0,2,0,12,0,0,0,"G84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"521",452801585,"AT EEZZZ PROJECT","% CHRIS MARSTON","PO BOX 26141","ALEXANDRIA","VA","22313-6141",0,3,3,1000,201208,1,15,0,1,1,202212,0,0,2,0,12,0,0,0,"G99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"522",452801609,"PINK PERSEVERANCE INC","% LINDA D WHITLOCK","9 FIREFLY LN","HAMPTON","VA","23666-1887",0,3,3,2000,201410,1,16,0,1,1,202212,0,0,2,0,12,0,0,0,"G32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"523",452805009,"FOREVER VET WIVES","% DOLORES JAN LEON","7909 WILD ORCHID WAY","FAIRFAX STA","VA","22039-2502",0,3,3,1000,201206,1,15,0,1,1,202212,0,0,2,0,12,0,0,0,"E70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"524",452819092,"APPLE TREE LEAF FOUNDATION","% TERESA DELPH","RR 1 BOX 536","ROSELAND","VA","22967-9202",0,3,3,1000,201502,1,15,0,1,1,202212,0,0,2,0,12,0,0,0,"G30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"525",452882216,"IRON DOG SKIN CANCER AWARENESS RACE INC","% MARIAN DIXON","PO BOX 145","LOVINGSTON","VA","22949-0145",0,3,3,1000,201208,1,15,0,1,1,202212,0,0,2,0,12,0,0,0,"E70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"526",452944564,"ARC OF SOUTHERN VIRGINIA INC","% NO","PO BOX 252","HALIFAX","VA","24558-0252",0,3,3,1000,201403,1,15,0,1,1,202112,0,0,2,0,12,0,0,0,"F30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"527",452994844,"MED INTERNATIONAL INC","","1039 FOUNDERS RIDGE LN","MCLEAN","VA","22102-2039",0,3,3,1000,201406,1,4,0,1,1,202212,6,1,0,1,12,1582635,1,NA,"E62",1550099,0,0,0,0,0,0,0,0,0,0,1550099,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,1809,0,0,0,0,0,0,0,0,0,0,0,11959,1599489,0,1599489,1599489,1599489
"528",453086608,"PARK PLACE HEALTH & DENTAL CLINIC INC","","606 W 29TH ST","NORFOLK","VA","23508-3316",0,3,3,1200,201209,1,15,0,1,1,202212,4,4,1,0,12,161630,137208,137208,"E32",129460,1550,0,0,0,0,0,0,0,0,0,131010,0,0,0,0,43900,0,38154,0,0,7662,0,0,4132,0,0,0,660,0,138,0,0,7459,0,0,0,0,0,3308,2127,5330,1530,1410,988,0,119893,144292,4860,0,139432,144292
"529",453090698,"THOUGHT LEADERSHIP & INNOVATION FOUNDATION","% FRED CECERE","1750 TYSONS BLVD STE 1500","MC LEAN","VA","22102-4200",0,3,3,2800,201208,1,15,0,1,1,202206,4,6,1,0,12,272882,1747360,1747360,"E05",814733,931368,9,0,0,0,0,0,0,0,1250,1747360,250000,0,0,0,226939,0,158361,0,36476,21315,0,3871,54128,0,0,0,606356,36360,2379,13306,0,3386,9800,0,10452,3351,0,0,15869,107011,6397,1787,1375,0,1569492,272882,175396,0,97486,272882
"530",453138443,"LINAS WISH INC","% DANIA CHOUEIRI","11751 DRY RIVER CT","RESTON","VA","20191-2946",0,3,3,1000,201201,1,15,0,1,1,202112,0,0,2,0,12,0,0,0,"G127",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"531",453196168,"DORIS L VIA CANCER FUND","% LORRI BATTEN","PO BOX 174","HOT SPRINGS","VA","24445-0174",0,3,3,1000,201402,1,15,0,1,1,202212,0,0,2,0,12,0,0,0,"G12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"532",453196342,"JACKSON CLINICS FOUNDATION INC","% RICHARD T JACKSON","PO BOX 1769","MIDDLEBURG","VA","20118-0000",0,3,3,1000,201209,1,4,0,1,1,202212,2,4,0,1,12,22981,110600,NA,"E025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"533",453203217,"NOVA COMMUNITY HEALTH CENTER INC","% WON H KOO","10331 DEMOCRACY LN","FAIRFAX","VA","22030-2521",0,3,3,1000,201210,1,15,0,1,1,202312,0,0,2,0,12,0,0,0,"E32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"534",453230862,"DELTA DENTAL OF VIRGINIA FOUNDATION INC","% GEORGE A LEVICKI","4818 STARKEY ROAD","ROANOKE","VA","24018-0000",0,3,3,1000,201208,1,17,0,1,1,202212,4,6,1,0,12,483913,1955207,1955207,"E60",1102155,0,0,0,0,0,0,0,0,0,0,1102155,727100,0,0,0,0,0,150451,0,0,0,0,0,0,0,0,0,207268,0,22955,0,0,0,872,0,0,0,0,0,0,1280,0,0,0,0,1109926,1007043,997737,0,9306,1007043
"535",453262970,"TOGETHER WE CAN - CELEBRATE LIFE","% DHARMINDRA SEOPARSAN","12204 BRIDGEHEAD PL","GLEN ALLEN","VA","23059-5384",0,3,3,1000,201710,1,15,0,1,1,202205,0,0,2,0,5,0,0,0,"F40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"536",453264448,"PATHWAY RECOVERY INC","% CORPORATION","10201 FAIRFAX BLVD STE 200","FAIRFAX","VA","22030-2209",0,3,3,1000,201405,1,15,0,1,1,202206,0,0,2,0,6,0,0,0,"F33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"537",453327054,"TEXAS PACE ASSOCIATION","% RHONDA ROSE","675 NORTH WASHINGTON STREET 300","ALEXANDRIA","VA","22314-0000",0,6,3,1000,201405,2,0,0,1,1,202212,4,3,1,0,12,142317,85060,85060,"G01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"538",453531497,"CANCER ACTION COALITION OF VIRGINIA INC","% ELLIOTT GRAHAM","PO BOX 31658","RICHMOND","VA","23294-1658",0,3,3,1000,201309,1,15,0,1,1,202212,3,4,1,0,12,74102,107590,107590,"G01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"539",453546803,"WELL OF GRACE INC","% SUSAN KADAS","732 HAYES DR","LYNCHBURG","VA","24502-1406",0,3,3,1200,201804,1,15,0,1,1,202212,0,0,2,0,12,0,0,0,"E86",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"540",453568770,"AMERICAN COCHLEAR IMPLANT ALLIANCE FOUNDATION","","PO BOX 103","MCLEAN","VA","22101-0103",0,3,3,1000,201206,1,15,0,1,1,202206,6,6,1,0,6,2807367,1524628,1524628,"H42",1009398,426347,6039,0,0,0,0,0,0,0,0,1441784,96567,69812,0,0,191360,0,253442,0,0,31377,0,69132,33400,0,0,200,132020,1528,23037,41362,0,0,1026,0,148860,0,0,1325,4117,6446,503,293,0,0,1105807,2458720,349588,0,2109132,2458720
"541",453583686,"FIVE STONES INSTITUTE","% LORRAINE RUNSKI","116Q EDWARDS FERRY RD NE","LEESBURG","VA","20176-2301",0,3,3,1200,201309,1,15,0,1,1,202212,0,0,2,0,12,0,0,0,"E99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"542",453630725,"EYE CARE INTERNATIONAL","% EYE CARE INTERNATIONAL","6739 MONTOUR DR","FALLS CHURCH","VA","22043-1747",0,3,3,1000,201502,1,15,0,1,1,202302,0,0,2,0,2,0,0,0,"E70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"543",453747707,"RAINBOW PROJECT","% DAWN CATHERINE FUNK","1480 WILLIAMS FARM RD","KING GEORGE","VA","22485-7668",0,3,3,1000,201205,1,15,0,5,1,201912,0,0,2,0,12,0,0,0,"G30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"544",453751448,"MINORITY AIDS SUPPORT SERVICES INC","% MAROLYN EDMONDS","247 28TH STREET SUITE 100","NEWPORT NEWS","VA","23607-3907",0,3,3,1200,201203,1,15,0,1,1,202212,6,6,1,0,12,2831060,3581219,3581219,"G018",71688,2987052,0,0,0,0,0,0,0,0,0,3058740,0,2680,0,0,299000,0,629351,42551,0,99607,0,0,0,0,0,0,0,24906,333844,0,0,68485,50610,0,1307,0,0,42410,215295,34203,145402,202517,106390,0,2298558,2781500,291748,2389932,2489752,2781500
"545",453790643,"DONNA M SAUNDERS FOUNDATION INC","% BRONTE MONTGOMERY","7714 BRISTOL SQUARE CT","SPRINGFIELD","VA","22153-3118",0,3,3,1000,201205,1,15,0,1,1,202212,4,4,1,0,12,229584,103470,103470,"E86",200201,0,0,0,0,0,0,0,0,0,0,200201,123057,0,0,0,0,0,0,0,0,0,0,0,0,0,11176,0,0,1711,3606,0,0,0,0,0,0,0,0,0,590,22,307,426,1593,0,145319,203323,0,193978,203323,203323
"546",453809065,"HANOVER COUNTY I-CARE COMMUNITY COALITION INC","% MARTHA A LAMBERT","12300 WASHINGTON HWY","ASHLAND","VA","23005-7646",0,3,3,1000,201402,1,15,0,1,1,202212,3,4,1,0,12,25773,127508,127508,"F20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"547",453932057,"HOPENET INC","% PETER MULLER","14425 COACHWAY DR","CENTREVILLE","VA","20120-1638",0,3,3,1200,201301,1,15,0,1,1,202211,0,0,2,0,11,0,0,0,"G99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"548",454074179,"CHILD AND FAMILY CONNECTIONS","% AMANDA SARGENT","2815 CHESTNUT AVE","NEWPORT NEWS","VA","23607-4221",0,3,3,1000,201203,1,15,0,1,1,202312,0,0,2,0,12,0,0,0,"F60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"549",454313590,"OUR MINDS MATTER","% LAUREN ANDERSON","1550 WILSON BLVD STE 700","ARLINGTON","VA","22209-2490",0,3,3,1000,201309,1,15,0,1,1,202306,6,6,1,0,6,1247644,1540711,1198953,"F70",716694,0,7403,0,0,0,0,-13435,0,0,1090,711752,0,0,0,0,101958,0,269440,0,26030,29286,0,0,30770,0,0,0,133945,1133,39480,0,0,33349,3889,0,6048,0,0,20,8096,9711,0,0,0,0,693155,1030207,34094,0,996113,1030207
